"file","role","risk_level","issue_types","evidence","recommended_action","migration_phase","remediation_owner"
"pos-tauri\ARCHITECTURE.md","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\docs\security-native-migration\AUDIT_REPORT.md","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\docs\security-native-migration\EXECUTION_BACKLOG.md","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\docs\security-native-migration\NATIVE_MIGRATION_RFC.md","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\docs\security-native-migration\README.md","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\docs\security-native-migration\SECURITY_VERIFICATION_PACK.md","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\index.html","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\package-lock.json","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\package.json","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\PARITY_CHECKLIST.md","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\PARITY_GATES.md","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\PHASE2_NOTES.md","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\PHASE4_NOTES.md","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\PHASE8_COMPLETE.md","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\PHASE8_SUMMARY.md","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\postcss.config.js","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\README.md","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\RELEASE.md","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\scripts\check-dev-port.mjs","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\scripts\check-parity-contract.mjs","support","low","parity_gate_parser_hardening","updated command parser for module-scoped generate_handler registrations and full-source #[tauri::command] discovery; optional legacy channel gating split from required parity failures","refactor","phase-5","pos-tauri-core"
"pos-tauri\scripts\generate-updater-manifest.mjs","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\scripts\smoke-test.ps1","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\scripts\tauri-smoke.mjs","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\scripts\verify-diagnostics.mjs","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\scripts\verify-rust.ps1","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\scripts\verify-rust.sh","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src-tauri\build.rs","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src-tauri\capabilities\default.json","support","medium","capability_hardening","removed broad plugin grants and added explicit deny rules for renderer-side event emit + updater invoke surfaces","refactor","phase-5","pos-tauri-core"
"pos-tauri\src-tauri\Cargo.lock","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
